variables
Dispatchedyear_var(t-9)_transporter_wise
Dispatchedweekday_var(t-9)_transporter_wise
Dispatchedhour_var(t-9)_transporter_wise
Dispatchedday_var(t-9)_transporter_wise
Source_var(t-8)_transporter_wise
Destination_var(t-8)_transporter_wise
Vehicle Type_var(t-8)_transporter_wise
Target_var(t-8)_transporter_wise
sla_delay_charges_var(t-8)_transporter_wise
creationmonth_var(t-8)_transporter_wise
creationyear_var(t-8)_transporter_wise
creationweekday_var(t-8)_transporter_wise
creationhour_var(t-8)_transporter_wise
creationday_var(t-8)_transporter_wise
Placement_Status_var(t-8)_transporter_wise
OnTimeStatus_var(t-8)_transporter_wise
Deliverymonth_var(t-8)_transporter_wise
Deliveryyear_var(t-8)_transporter_wise
Deliveryweekday_var(t-8)_transporter_wise
Deliveryhour_var(t-8)_transporter_wise
Deliveryday_var(t-8)_transporter_wise
Dispatchedmonth_var(t-8)_transporter_wise
Dispatchedyear_var(t-8)_transporter_wise
Dispatchedweekday_var(t-8)_transporter_wise
Dispatchedhour_var(t-8)_transporter_wise
Dispatchedday_var(t-8)_transporter_wise
Source_var(t-7)_transporter_wise
Destination_var(t-7)_transporter_wise
Vehicle Type_var(t-7)_transporter_wise
Target_var(t-7)_transporter_wise
sla_delay_charges_var(t-7)_transporter_wise
creationmonth_var(t-7)_transporter_wise
creationyear_var(t-7)_transporter_wise
creationweekday_var(t-7)_transporter_wise
creationhour_var(t-7)_transporter_wise
creationday_var(t-7)_transporter_wise
Placement_Status_var(t-7)_transporter_wise
OnTimeStatus_var(t-7)_transporter_wise
Deliverymonth_var(t-7)_transporter_wise
Deliveryyear_var(t-7)_transporter_wise
Deliveryweekday_var(t-7)_transporter_wise
Deliveryhour_var(t-7)_transporter_wise
Deliveryday_var(t-7)_transporter_wise
Dispatchedmonth_var(t-7)_transporter_wise
Dispatchedyear_var(t-7)_transporter_wise
Dispatchedweekday_var(t-7)_transporter_wise
Dispatchedhour_var(t-7)_transporter_wise
Dispatchedday_var(t-7)_transporter_wise
Source_var(t-6)_transporter_wise
Destination_var(t-6)_transporter_wise
Vehicle Type_var(t-6)_transporter_wise
Target_var(t-6)_transporter_wise
sla_delay_charges_var(t-6)_transporter_wise
creationmonth_var(t-6)_transporter_wise
creationyear_var(t-6)_transporter_wise
creationweekday_var(t-6)_transporter_wise
creationhour_var(t-6)_transporter_wise
creationday_var(t-6)_transporter_wise
Placement_Status_var(t-6)_transporter_wise
OnTimeStatus_var(t-6)_transporter_wise
Deliverymonth_var(t-6)_transporter_wise
Deliveryyear_var(t-6)_transporter_wise
Deliveryweekday_var(t-6)_transporter_wise
Deliveryhour_var(t-6)_transporter_wise
Deliveryday_var(t-6)_transporter_wise
Dispatchedmonth_var(t-6)_transporter_wise
Dispatchedyear_var(t-6)_transporter_wise
Dispatchedweekday_var(t-6)_transporter_wise
Dispatchedhour_var(t-6)_transporter_wise
Dispatchedday_var(t-6)_transporter_wise
Source_var(t-5)_transporter_wise
Destination_var(t-5)_transporter_wise
Vehicle Type_var(t-5)_transporter_wise
Target_var(t-5)_transporter_wise
sla_delay_charges_var(t-5)_transporter_wise
creationmonth_var(t-5)_transporter_wise
creationyear_var(t-5)_transporter_wise
creationweekday_var(t-5)_transporter_wise
creationhour_var(t-5)_transporter_wise
creationday_var(t-5)_transporter_wise
Placement_Status_var(t-5)_transporter_wise
OnTimeStatus_var(t-5)_transporter_wise
Deliverymonth_var(t-5)_transporter_wise
Deliveryyear_var(t-5)_transporter_wise
Deliveryweekday_var(t-5)_transporter_wise
Deliveryhour_var(t-5)_transporter_wise
Deliveryday_var(t-5)_transporter_wise
Dispatchedmonth_var(t-5)_transporter_wise
Dispatchedyear_var(t-5)_transporter_wise
Dispatchedweekday_var(t-5)_transporter_wise
Dispatchedhour_var(t-5)_transporter_wise
Dispatchedday_var(t-5)_transporter_wise
Source_var(t-4)_transporter_wise
Destination_var(t-4)_transporter_wise
Vehicle Type_var(t-4)_transporter_wise
Target_var(t-4)_transporter_wise
sla_delay_charges_var(t-4)_transporter_wise
creationmonth_var(t-4)_transporter_wise
creationyear_var(t-4)_transporter_wise
creationweekday_var(t-4)_transporter_wise
creationhour_var(t-4)_transporter_wise
creationday_var(t-4)_transporter_wise
Placement_Status_var(t-4)_transporter_wise
OnTimeStatus_var(t-4)_transporter_wise
Deliverymonth_var(t-4)_transporter_wise
Deliveryyear_var(t-4)_transporter_wise
Deliveryweekday_var(t-4)_transporter_wise
Deliveryhour_var(t-4)_transporter_wise
Deliveryday_var(t-4)_transporter_wise
Dispatchedmonth_var(t-4)_transporter_wise
Dispatchedyear_var(t-4)_transporter_wise
Dispatchedweekday_var(t-4)_transporter_wise
Dispatchedhour_var(t-4)_transporter_wise
Dispatchedday_var(t-4)_transporter_wise
Source_var(t-3)_transporter_wise
Destination_var(t-3)_transporter_wise
Vehicle Type_var(t-3)_transporter_wise
Target_var(t-3)_transporter_wise
sla_delay_charges_var(t-3)_transporter_wise
creationmonth_var(t-3)_transporter_wise
creationyear_var(t-3)_transporter_wise
creationweekday_var(t-3)_transporter_wise
creationhour_var(t-3)_transporter_wise
creationday_var(t-3)_transporter_wise
Placement_Status_var(t-3)_transporter_wise
OnTimeStatus_var(t-3)_transporter_wise
Deliverymonth_var(t-3)_transporter_wise
Deliveryyear_var(t-3)_transporter_wise
Deliveryweekday_var(t-3)_transporter_wise
Deliveryhour_var(t-3)_transporter_wise
Deliveryday_var(t-3)_transporter_wise
Dispatchedmonth_var(t-3)_transporter_wise
Dispatchedyear_var(t-3)_transporter_wise
Dispatchedweekday_var(t-3)_transporter_wise
Dispatchedhour_var(t-3)_transporter_wise
Dispatchedday_var(t-3)_transporter_wise
Source_var(t-2)_transporter_wise
Destination_var(t-2)_transporter_wise
Vehicle Type_var(t-2)_transporter_wise
Target_var(t-2)_transporter_wise
sla_delay_charges_var(t-2)_transporter_wise
creationmonth_var(t-2)_transporter_wise
creationyear_var(t-2)_transporter_wise
creationweekday_var(t-2)_transporter_wise
creationhour_var(t-2)_transporter_wise
creationday_var(t-2)_transporter_wise
Placement_Status_var(t-2)_transporter_wise
OnTimeStatus_var(t-2)_transporter_wise
Deliverymonth_var(t-2)_transporter_wise
Deliveryyear_var(t-2)_transporter_wise
Deliveryweekday_var(t-2)_transporter_wise
Deliveryhour_var(t-2)_transporter_wise
Deliveryday_var(t-2)_transporter_wise
Dispatchedmonth_var(t-2)_transporter_wise
Dispatchedyear_var(t-2)_transporter_wise
Dispatchedweekday_var(t-2)_transporter_wise
Dispatchedhour_var(t-2)_transporter_wise
Dispatchedday_var(t-2)_transporter_wise
Source_var(t-1)_transporter_wise
Destination_var(t-1)_transporter_wise
Vehicle Type_var(t-1)_transporter_wise
Target_var(t-1)_transporter_wise
sla_delay_charges_var(t-1)_transporter_wise
creationmonth_var(t-1)_transporter_wise
creationyear_var(t-1)_transporter_wise
creationweekday_var(t-1)_transporter_wise
creationhour_var(t-1)_transporter_wise
creationday_var(t-1)_transporter_wise
Placement_Status_var(t-1)_transporter_wise
OnTimeStatus_var(t-1)_transporter_wise
Deliverymonth_var(t-1)_transporter_wise
Deliveryyear_var(t-1)_transporter_wise
Deliveryweekday_var(t-1)_transporter_wise
Deliveryhour_var(t-1)_transporter_wise
Deliveryday_var(t-1)_transporter_wise
Dispatchedmonth_var(t-1)_transporter_wise
Dispatchedyear_var(t-1)_transporter_wise
Dispatchedweekday_var(t-1)_transporter_wise
Dispatchedhour_var(t-1)_transporter_wise
Dispatchedday_var(t-1)_transporter_wise
